,reviews
289,대여를 했는데 내용이 안보임 내 돈만 먹은거임 \? \? \? \? \? 
290,선물하기 기능 꺼라 아주 뒈질라고 선물기능땜시 확인하는것도 귀찮다
291,참 형편없이도 만들었네요 이게뭔지 로그인 본인인증하나 하는데도 오류 투성이 첫날이라 이럴꺼 알았으면 미리 대비를 했어야지 이렇게하면서 뭘 하겠다는건지 참 수준이 보인다
292,자유이용권이래서 한달치삿더니 뭐 \? 표시된것만 살수잇다고 \? 하 본거없이 일주일이 지낫네 하 욕이저절로 나옴 이용권사지마셈 그냥 돈내고 보라는거임 별하나도 아까움 
293,저기여 \? 저번 부터 뭐하는 겁니까 \? 제가 학생인데 학생들도 무료 충전할수있게해줘야줘 그리고 캐시지급도 똑바로 해줘야될거 아닙니까 지금 장난치는것도아니고 캐시지급좀 제대로 해주세요 저기여 장난 해여 \? 아무리학생이어도 따질건좀 따져야겠네요 캐시지급이 아직도 제대로 안되고있네요 리뷰보고있어요 \? 앱관리도못하는데 이앱은 왜 만드셨데 차라리 만들지 말지 만들어서 관리도 못할거 뭐하로 만듭니까 \? 진짜 부탁드립니다 만화는 다제밌어요 그건다좋은데 캐시만좀 어떻게 해달라고요 그렇게 어려운 부탁도 아니잖아요 
294,시도 자체가 매우 좋다고 생각합니다 부족한 부분은 고객들과 소통하며 채워 가면 된다고 생각합니다
295,"아주좋아요 한번에 계좌확인되는것도 좋고 카드발급내역도 조회되고 카카오페이 , 네이버송금보다 월등히 낫습니다 충전 , 본인계좌송금불가도 없고 증권사지원도되고요 좀더 지원기관 늘어나면 최강일것 같습니다"
296,허니블러드 넘 재미있음 더 퀸 침묵의 교실보다 재미있음 조금 더 말이죠
297,만화나 소설이 아예 들어가지않아요 실행이 안되구요 빨리고쳐주세요
298,말이 필요없이 그냥 핸드폰사면 카톡 다음으로 깔아야되는앱
299,훌륭한 앱입니다 일일이 atm기계 찾으러 다닐 일 없이 이 앱 하나만 있으면 모든게 해결됩니다 또한 예산 측정하기에도 쉬워 효과적입니다 
300,업뎃하고 속도가 말도안되게느려졌어요 뭐때문에 업뎃을했는지 모르겠지만 진짜굉장한 인내심아니면 화가날지경이네요 이문제빨리개선해주세요 
301,모든은행다있는줄알고다운받고송금할려니까신한이없네요 언제해주실꺼에요신한빨리해주세요
302,근데 이거 로고인해야되는거에요 \? 혹시나 물어본거에요 제폰이 이상해서 물어본겁니다 
303,진짜 잘쓰고있습니다 생활이 너무 편해지네요 만들어주셔서 감사합니다 ! ! 
304,두 말 하면 입 아프고 세 말 하면 간첩입니다 다른 별에서 오지 않은 이상 이 앱의 별점을 5개 주지 않을 이유가 전 혀 없습니다 인류 최고의 어플 중 하나입니다 
305,이때까지 잘쓰고있었는데 오늘 돈을 보냈는데 2번중복되서 보내지네요
306,업뎃을 하셨는데 다운하고 보는걸로 하셨더라구요 그런데 저포함해서 몇몇분은 오류떠서 못보고있습니다 혹시나해서 메모리용량까지 확인해봤는데 용량은 많이 남았구요 자꾸 오류떠서 못보는데 이거 어떻게 하실건가요 제 폰의 문제인가요 \? 
307,문제라고 한다면 더럽게 어렵고 힘들게 짜여진 대한민국의 은행시스템
308,이체를 정말 편리하게 할 수 있도록 도와주는 직장인 필수앱 입니다 이용하는 모든계좌를 등록할 수 있고 원할때 바로바로 인증서없이 보낼수 있어 너무 잘 활용하고 있어요 토스 화이팅
309,"아니 아쿠아맨 미리보기를 눌렀는데 로딩만 계속되더니 어느 순간부터는 로딩도 멈추고 아예 폰이먹통이 되네요 , , , , , 30분정도 기다려도 안되길래 강제재부팅 해서 껐어요 해결해주세요 , , , 폰이 이상한건가 해서 다른폰으로도 해봤는데 똑같은 현상이일어나네요 , , "
310,해피머니 문화상품권도 등록이 가능하도록 개선해주시면 안될까요
311,갑자기 앱 다운받고 회원가입 까지는 참겠는데 광고 무조건 동의고 선택이라하면서 무조건 동의 해야만 해야 앱 쓸 수 있음 이네요 고객의 의사 선택은 없이 무조건임 회원가입 하다 짜증나서 결제방식을 제가 바꿉니다 이런 대기업 횡포 극혐
312,어처구니가 없습니다 업데이트 후 접속이 안되서 문의하니 기기변경을 하라고 합니다 제가 현재 쓰는 폰이 갤3라 안되는 것이라고 합니다 정말 말이 안됩니다 은행에서 사람가려가며 돈 받습니까 \? 컴퓨터 일정사양 안되면 인터넷뱅킹 못합니까 \? 종이통장도 없어 내역 확인도 어려운데 정말 무책임합니다 주변사람들에게 쓰지 말라고 할겁니다 
313,어플을깔앗엇다가 지우고 다시깔려닌까 무슨서명이안된다고하면서 깔리지도않네요
314,"업데이트를 어떻게 하기에 , 와이파이를 연결해서 진행을 해도 속도가 이리도 느린건지 "
315,카톡계정을 일이히쳐야 해서 귀찮고 다까먹었고 인증번호가 계속않와요 자동입력 않될까요 \? \? 
316,너무 많이 재미있고 많이 표현하고 싶지만 글짤르 쓰는게 500밖에 안되네요 엄청재밌구 친구한테도 추천 많이하고 있어요 ! 친구들이 책을 싫어한다고 하더군요 그래도 읽어보라고 게속 추천중이에용 ! 그 쿠키1000개 당첨되게 해주세요 ! 저 쿠키얻어서 다른것도 보고싶어요 재발 당첨만하게 해주세요 
317,진짜 짱편하고 짱좋아요 리뷰 안남기는데 이건 너무 편하고 좋아서 남겨요 
318, 같네 100캐시도 쓸수 있으면 주라고 진짜 짜증나게 지금 뭐하는 짓이야
319,맨날 같은 업데이트 내용 써놓고 뭘 업데이트 하는 거죠 \? \? 
320,"매일 무료화만 챙겨봐도 100캐시 , 소설 1화 무료로 볼수 있도록 해주던 이벤트가 유료 5화 \( 500캐시 \) 를 써야 100캐시를 주는 이벤트로 바뀌었다 민심 떡락 각 아니냐 시리즈나 가자"
321,왜 불편하게 앱을 깔라는거임 그냥 번호주고 메세지보내주면되지
322,넘좋아요 상대방계좌번호를 몰라도 빠르게 이체할수도있고 로그인안해도 남은돈이 얼만지도 알수있어요 ! 
323,제 토스계정에 있는 돈을 제 은행계좌로 보내려고할때마다 네트워크 혹은 서버 불안정이라며 보내주질 않습니다 그러면서 앱을 업데이트 하라고하는데 스토어로 들어가보면 이미 최신버전이라고 하고 뭐 어쩌라는 건가요 \? 
324,계좌번호없이 연락처로도 간편하게 송금할수있어서 너무 편리하게 잘 쓰고있습니다 
325,재미있는 만화와 소설 덕에 지루하지 않은것같아요10점만점에10
326,왜자꾸 통장명의가 다르다고 뜨는지 시작도 못하고 있네요 
327,편리하고 좋군요 이런 어플을 이벤트랑 같이 쓰게 될 수 있어서 좋습니다
328,일단 너무 복잡하고요 폰통장인줄 알았더만 택배였네요 \? 전 택배 일줄은 몰랐죠 그래서 엄마한테 혼났네요 
329,아니 자꾸 튕겨 뭘 볼수가 없어 재시작하라고 하고 요즘 왜 그러냐
330,초대받고 링크타서 가입을했는데 저도 천원이안들어오고 상대방도3천원이 안들어오네요 확인부탁드릴게요 
331,재미있는 만화하고 소설도 있어 넘 좋음 근데 아쉬운 점은 캐시 선물 기능이 없다는 점 그래서 캐시 선물 기능이 있었으면 좋겠음
332,항상 빠른 답변으로 문제의 해결방안을 내어 주시는 카카오 페이지입니다 운명진분들의 노력으로 빛나고 있습니다
333,토스어플이 들어가지지가않아요 어떻게해야하나요 \? \? 
334,완전 짱 좋아요 ! ! 다른은행으로 입금하는데 수수료도 안붙고 대박이에요 ! ! 크게 성장하실겁니다 대박나세요 ! ! 
335,공인인증서 보안카드 귀찮은 과정 없어서 너무 좋아요 \) 
336,늦은 시간까지 상담해주신 토스상담원에게 고마운말을 전달하고싶구요 앞으로 토스 번창하시고 많은 발전 기대할께요 ! 
337,복잡하지 않고 사용하기 편한 현존 금융앱중에서 토스만한건 아직 못본거 같네요 
338,정 말 좋습니다 간편하고 빠르게 송금할 수 있어 은행 앱말고 항상 토스씁니다 토스어플 쭉 이어지길 바랍니다 ! ! 
339,제가 웹툰을 볼려고 할때마다 자꾸 해당데이터가 없다는 소리를 해대서 다시깔았거든요 \? 근데 또 그러네 이거 어떻게 된거임 \? 얼른 고쳐라 레알 빡도네
340,소설 볼때 검은화면만 뜨는 오류 좀 고쳐주세요 껐다켰다 무한반복을해도 검은 화면만 뜨고 짜증나서 못보겠네요
341,비슷한 서비스를 제공하는 다른 앱들이랑 비교하면 어이가 없네요
342,금융 서비스 어플리케이션이 기본 인프라 구축도 제대로 못한거에요 이용자가 많아서 다운 \? \? 말도안되는소리 ! ! 디도스공격하면 어쩔건데 \? 이미뻗는구만 뭘믿고 돈을 맡기라는거지
343,너무너무 편하게 잘쓰고 있습니다 ! 우리은행은 계좌는 등록 할 수 없나요 \? 우리은행도 사용할 수 있게 해주세요 
344,카드 간편결제가 사라지고 무조건 카카오페이를 이용하게됫네요
345,사업확장좀 적당히 하고 로그인 문제나 자잘한 버그들 고치세요 
346,굉장히 편하네요 돈보내기가수월하고 수수료도달마다몇회씩무료라유용합니다
347,100캐시나온건 너희들 상술그럴것 같아서 괜찮은데 뽑고 확인 눌러도 캐시가 안생겨 그래서 다시들어가서 뽑아서 100캐시 또나오고 근데 수령이 안돼잖아 거의 5번쯤 반복했거든 \? 카페 노답이다 카페에 지른돈만 17만원쯤됄텐데 그거주는게 그렇게 아깝냐 추가 지금 오류떴다고 다시보내줬는데 그것도 그러네 해결을 하고 보내주던가
348,잘보고있었는데 갑자기 로그인실패만 자꾸뜨면서 들어가지지가 않네요 대여권으로 산거 정독하려고했는데 이게 무슨일인가요 장난치는것도 아니고 하나이 200캐시나 하면서 대여해놓은거 기간만료되면 책임지세요
349,아니 파이널판타지 힘들게 성채 10 레벨 해서 캐시받을려고 하니까 안돼잖아요 별 1개도 주기싫다 진짜 내가 얼마나 열심히 하루종일해서 성채 10 만든건데 다신안할까싶네요 \? 
350,문제 해결이 빠르네요 ! ! 잘 보고 있습니다 좋은 앱 만들어줘서 감사합니다 
351,이미라쌤의 인어공주를 위하여 를 드디어 볼 수 있게 되었네요 ! ! 정말 감사합니다 
352,"혹시 계좌 아이디 , 비밀번호 알아낼 수 있는 방법 있을까요 \? "
353,앱 실행을 위한 초기화에 실패했다네요 갑자기 왜 이런 거죠 \? 
354,카카오톡 업데이트하고 나니깐 갑자기 로그인이 안되네요 개실망 그냥 깔지 마세요
355,송금지원금 받을려고 눌렀는데 실행안돼고 다시 화면이 처음으로 돌아가는거죠 이거왜이러는 거예요
356,복잡한거 싫어하는 편인데 이체할때마다 번거로워서 귀찮았는데 너무 좋은거 같아요 완전 좋아요 
357,진짜 최고네요 정말 간편하고 보안도 처음엔 못미더웠는데 faq에 설명 보니까 믿음이 가네요 ! 토스 어플 만들어 주셔서 정말 감사합니다 제작자님 ! 
358,야 님들아 캐시 뽑을때 계속 100캐시만 나오면 그냥 보삼 꽝이 없는거잖아 꽝이 없는거만으로도 감사해 그리고 100캐시로 소설 보삼 글 못 읽음 \? 소설도 재밌어 100캐시 나온다고 칭얼대지말고 그냥 아무거나 보세요 100캐시 \? 야 그냥 보라고 100캐시 나온게 운영자 잘못이냐 \? 님들이 운이 없어서 그렇게 나오는거잖아 생각좀 해 그리고 꽝 있는 뽑기 앱에서 님들 다 당첨만 나왔음 \? 꽝 더럽게 많이 나와 근데 여기선 꽝 대신 100캐시를 주는거잖아 꽝 없는걸 감사히 여겨 \? 이해 오키바리 \? 이거 이해 못 함 \? 그럼 차근차근 다시 읽으삼 결론 100캐시 나오는것만으로도 감사해라 운영자님 악플들 걱정마세요 아 그리고 카카오페이지 정말 재밌어요 ! ! ! ! ! ! 
359,엄청 편하고 좋아요 ! 시중 은행중 최고라고 생각합니다 ! 
360,책대여점은 대출기간이 3일인데 네이버는 1일이라 대여후 그날 다 읽어야하는 불편함이 있음
361,조금 제한적이긴 해도 안불편해요 항상편하게 잘 이용하고있어요 
362,와 진짜 개빡치는게 웹툰좀 보러 들어가면 맨날 오류뜨고 다시해보라는데 이래서는 웹툰을 볼수가없잖아요 빨리 좀 고쳐주세요
363,만보기해서 적립할때랑 퀴즈하러갈때 왜 계속 로딩만 뜨고 아무리 기다려도 안되네요
364,ars전화로 인증을 해야하잖아요 그럴려면 인증번호치는 창이 떠야하는데 안뜸니다 
365,새리뷰 이벤트 하지 마세요 정말 신용도 제로네요 전산 감당이 안될 때 현금 계산하게 만들어놓고 무슨 이밴트 \? \? 이전리뷰 금융 어플 리뉴얼은 매우 신중해야하며 이번 어플 편의성은 증대되었지만 네이버를 쓰다가 구글을 쓰는 느낌으로 이번 리뉴얼 변화가 좋은 시도는 아니었음 
366,"오늘 접속이 안 되어서 카카오톡 플러스친구에서 상담원께 문의했습니다 현재 오류가 나서 원활하지 못하다고 하시면서 죄송하다 , 이해해주셔서 감사하다고까지 하시더라구요 친절한 답변 저도 감사하다고 여기에 몇 자 적습니다 잠깐 불편한 것 뿐이니까 너무 급하지 않게 잘 처리되었으면 좋겠습니다 더운데 고생하세요 ! "
367,아무리 그래도 토스머니계좌에서 내 계좌로 출금하는건 수수료 안받아야 하는거 아닌가요 \? 토스머니계좌가 따로 존재하는 이유가 뭔지 
368,광고 맞춤설정 선택 해제를 비활성화 하셔야 참여할실 수 있습니다라고 나오는데 광고 맞춤설정 선택 해제 버튼이 어디 있나요 \? \? 
369,제가 별점 1점 준 이유에 대해서 말해드리겠습니다 1 토스에서 하는 반짝특가에서 평균 응모횟수를 공개하다가 갑자기 공개안한 점 에어팟 할때만해도 분명 평균 응모횟수를 공개하였지만 닌텐도 스위치 동물의숲부터는 갑작스럽게 공개를 안함 고객센터 문의해도 회사 내의 규칙상 공개가 불가능하다고 고지 2 개인정보 유출사건에 대해 개인 정보 유출된 점 보완을 찾을려고 하지않는점 물론 해당 사용자의 개인 정보 유출은 그분의 잘못은 분명하나 사용자들은 어떠한 공지도 없으니 불안할뿐 3 첫번째 사유 이후로 토스에서 하는 이벤트를 믿기 힘들어졌으며 불투명한 당첨으로 오히려 믿음이 없어지기 시작함 연락처 송금과 편리한 사용성은 인정하지만 보안과 이벤트 당첨결과에 대한 불투명성이 합쳐졌네요
370,제 핸폰은 안드로이드버전 4 2 2가 끝이라 3월 19일 이후론 토스를 못쓴다 이렇게 보면 되겠죠 \? 
371,"이해가 안돼요 제가 2002년생이고 이번년도 생일도 지나서 주민등록증도 발급받았고 만 17세 이상이 되었어요 그래서 카카오뱅크 깔아서 계좌개설 하려고 이름과 주민등록번호 입력했는데 자꾸 등록되지 않았다고 하고 실명정보가 잘못되었다고 하고 , 코리아크레딧뷰로라는 곳으로 전화하라고 하고 이게 뭐죠 \? 만 17세 이상은 되는거 아닌가요 \? 설명서도 몇번이고 읽어보고 , 네이버에도 검색하고 , 카카오톡으로 상담까지 다 해봤는데 자꾸 전화해서 물어봐라 , 만17세 이상은 된다 , 주민등록증 발급받은 사람은 된다 라는 똑같은 대답만 보여요 혹시 이 앱에서 오류가 있는건 아닌가요 \? 빨리 카드 만들고싶은데 이게 무슨 일인가요 \? 정말 답답합니다 되도록 빠른 답변 부탁드릴게요 빨리 개선시켜주세요 할수있는 최대한요 왜 안됀다는건지 이해가 되지 않네요 "
372,카톡문의도 바로바로 답해주시고 또 너무 친절하세요 재미도 있으시고 사용하기도 편리하고 좋아용 
373,그런데 송금내역을 찾을수 없어요 제일 기본이 되는 송금내역을 쉽게 찾을수 있게 만들어야지 이전에 있던것도 없애버리고 갈수록 더 불편해지는건 무엇때문인지 \? 토스 로고도 바뀌어서 매우 헷갈리고 송금내역 버튼을 찾으려고 다뒤져도 없어서 화가나고 다신 이용하고 싶어지지 않네요 페이코처럼 눈에 띄게 해주세요 송금하고 제대로 갔는지 확인할수 있게요 
374,제가 오늘 1000캐시 뽑기권을받앟는데요계속 팅기고 뽑지못하겠네요 오늘까지가 마감인데 다른건 다들어가지는데 이것만그러네요고쳐주셨음 함니다
375,네 완벽해졌습니다 pc에 까지 댓기능 만드시면 별점 5개 안줄수가 없잖아요 ! 
376,최악의 어플 리뷰 안남기는 편이지만 이렇게 유용하지 않은 어플이 있는게 놀라워 적습니다 정말 힘든인증 광고도 계속뜨고 구매하고팟던걸 사려면 어쩔수없이 설치했습니다 사고나면 바로삭제하고 쓸 일도 없었음 좋겠습니다
377,황당하네요 본인인정 절차에서 입력정보가 맞지않다니 생년월일을 잘못쓴것도 아니고 전화번호를 잘못쓴것도 아닌데 입력정보가 틀리다니 황당 그차체네요
378,아주 좋습니다 무료송금 횟수 20회 정도로 늘려주면 더욱 좋을것 같습니다 
379,아이폰이랑 달리 txt 파일이 왜이렇게 보기 불편하게 나오는지
380,본인인증하는데 왜 제 폰번호가 아닌 전혀 생소한 전화번호가 나오는지요 \? 그리고 왜 수정도 안되는지요 쓰지 말란건가
381,공인인증서나 otp 보안카드 필요없이 간편하게 이체할수있고 폰만들고있으면 언제 어디서나 편하게 이체할수있네요 부정적인글들은 도대체 뭘바라는 사람들인건가요 이체를 위해 돈을 묶어두냐니요 그때 그때 필요한돈을 이체해서 사용하던지 다달이 일정이체금액을 충전해놓고 필요시 편히사용하면 되는거지 이 앱의 장점을 놓고봤을때 좋으면 감사히 사용하면되고 그래도 맘에 안들면 은행앱 이용하세요 전 너무 좋은거 같네요 앱개발자 여러분들 힘내시고 화이팅하세요
382,카톡으로 툰하나보려고하는데 꼭 이걸 깔아서 무료로 보라고한다 굳이 안깔아도 되는데 왜 끼워팔기식으로 깔라고하는지 궁금하네요 
383,제폰이 아빠명의인데 제 계좌를 입력하면 오류가 인증을 아이핀으로 하면 안되나요 \? 개선좀 해주세요 
384,매번 송금할 일이 많아서 귀찮고 미뤄두기 일쑤였는데 너무 편해졌어요 잘 쓰고 있습니다
385,이제 쓰지도 않고 있는데 자꾸 포인트 소멸된다고 아침마다 카톡옴 소멸되면 안오겠지 하고 냅뒀는데 몇달동안 계속 기간연장해가면서 카톡알림와서 짜증나서 깔고 탈퇴해버림 
386,아 왜신한이없나요 신한좀만들어주세요 주거래가신한인데 부탁드립니다
387,진짜로 이렇게 재밌는걸 왜 이제야 봤을까 하게 되네요 카카오페이지 진짜 좋아요 ! 
388,최신업데이트해주신것도 잘 적응하고 무료수수료로 잘 사용하고있습니다 정말 어플좋은거같네요 ! 
389,칭찬하려고 들어왔어요 약초카페에 약구한다고 올렸는데 누가 채팅으로 접근하더니 전화 번호 받아서 문자로 얘기하다가 계좌를 주길래 송금 누르니 토스송금으로 연결이 됐어요 근데 빨간색 경고알람이 떠서 놀래서 네이버에 전화번호 검색하니 사기 이력이 나오더라구요 토스 덕분에 살았어요 감사합니다 
390,빨리 업 뎃좀 며칠 전부터 한번에 들어가기도 힘들고 자꾸 로딩만 됨 소설 읽을라하면 렉걸려서 나갔다 들어와야되고 짜증남 
391,웹소설의 일러스트가 안보이는 건 아쉽지만 그래도 별 5개 드립니다
392,사랑합니다 우리은항 안된다고 빼애액 하는사람 많던데 우리은행측이랑 계약이 안돼서 그런거 아닌가여 \? 우리은행을 탓하세요 ! 토스 괴롭히지마 뿌애애애앵
393,"정말 유용합니다 otp나 보안카드 필요없고 , 모든계좌 한눈에 볼 수 있고 "
394,방금 다운을 받았는데 업데이트를 하라는게 말인지 그나마도 업데이트가 되지도 않음 써보지도 못했기에 별을 0개를 줘야하지만 기술적으로 불가하여 별 1개 드리고 갑니다 
395,이젠 내가 무슨 책을 몇편까지 봤는지 일일히 확인하고 외워가며 봐야되냐 \? 아니 왜 이 자식들은 업뎃을 할때마다 자꾸 퇴보해 \? 왜 자꾸 멀쩡히 잘 쓰고있던걸 지우냐고 지난번에는 커서를 지우더니 이번엔 관심목록 업뎃 날짜까지 지우냐 \? 업그레이드라메 \? 이꼴이 어딜봐서 업그레이드야 다운 그레이드지 왜 점점 더 불편해지냐고 아 진짜 관심목록 당장 원상복구 시켜라 이번주 내로 복구 안하면 딴 플랫폼으로 갈아탈거다 유료 컨텐츠 주제에 이딴식으로 운영하지마라
396,앱다운 후 실행을 해도 캐시를 안주네요 분명 처음 다운하는 것인데도 안주네요
397,단한번의 오류없이 편하고 빠르게 이체가능해서 수달간 정말 잘 사용하고있어요 토스 항상 응원합니다 
398,공짜로 돈도 보낼 수 있고 참 좋은 앱인 것 같습니다 ! 
399,인증하라고 그래서 인증했는데 연령정보를 가지고 오는도중 실패했다나 \? 그래서 기다리면 볼수있는 만화를 못보는 상태입니다 빨리수정해주시길 바랍니다
400,업데이트를하라고 뜨는데 업데이트하러들어오면 업데이트버튼자체가 없음 빨리 조치해주세요 
401,친구 즐겨찾기 안해둔게 이번에 바뀌면서 강제로 즐겨찾기 되어있고 심지어 친구 즐겨찾기 수정도 안됨 문의했더니 이런 오류 꽤나 있는데 뭐 아직도 바뀐 건 없음 쓰기에도 불편하고 이제 카카오로 넘어갑니다 개구리다 진짜
402,핸드폰이 2g라서 토스를 설치못해서 공기계에 하려고 하는데 유심이 없어서 못해요 다른방법이 없나요 \? 컴퓨터로도 이용이 불가능하죠 \? 
403,항상 수수료랑 보안카드때문에 귀찮았는데 너무 편하고 좋네요 ! 
404,g3사용자입니다 어느순간부터 엄청 반응이 느려졌습니다 확인부탁드려요
405,이체 수수료 무료 기준을 이체했을때마다 몇번남았는지 알 수 있으면 좋겠네요
406,만 12세 이상이라 다운했는데 만14세 이상부터네요 제가 만 14세가 안넘는데 혹시 나중에 개선이 된다면 만12세부터 사용할수있으면 좋겠네요 
407,공지도없이 점검때리는 곳이 카카오라는 대기업입니까 \? 이건 뭐하자는 
408,머니트리 깔았는데 왜 캐시가 안들어요죠 \? \? 빠른시일내로 고쳐주시길바랍니다
409,잘 쓰고 있습니다 혹시 안드로이드 8 1 오레오는 지원 하나요 \? 알려 주세요
410,딸이 송금했다하여 앱을 깔고 인증했는데도 입금이 안되는건 왜인지 \? 
411,갑자기 잘 되다가 웹툰이 안열려요 일시적인 현상인가요 \? \? \? \? 
412,완전좋아요 재밓는것도 많구 스토리도 딱제취향 ! 기다리면 무료도좋아요 ! 
413,왜 자꾸 설치가 안되어있대 \? \? \? \? \? \? \? \? \? \? 
414,언제 어디서나 시간과 장소 상관없이 송금하고 잔액 확인할 수 있어서 좋습니다
415,정말좋은앱이라고 생각하고 편리하다는것을 느끼고 있습니다 앞으로도 더욱 더 좋은 앱으로 남아있어주세요 
416,네트워크 오류가 나더니 출금이 2회 연속으로 빠져나갔네요 어떻게 된건가 싶어 재접속하려고하니 아예 들어가질 못하고 있어요 서버문제인거 같은데 빠른 대응 부탁드립니다 
417,"앱과 pc사이에 연동이 안됩니다 앱에서는 인증이 됐다고하는데 , pc화면에서는 가입되지 않은회원이라고 뜨네요 한달전까지는 원활히 됐는데 갑자기 인증이 먹통이네요 당장 가입해야할 사이트가 있는데 pass때문에 지연되고있습니다 제가 입은 불이익은 보상해주실건가요 \? 제발 개선좀 부탁드립니다"
418,일년넘게 잘 사용중입니다 한가지 고쳐졌음 하는게 계좌를 새로만들고 연결하려는데 전자금융장기미사용으로 사용할수가 없다네요 해당은행가서 미사용해제 했는데 토스에는 왜 반영되지않죠 \? 
419,"간편한 송금 , 그리고 편리한 송금 내역 확인 , 바쁠땐 최고 임다 "
420,"짜능나는 앱 , 이유는 알지 \? 서비스안정회는 무슨 ! 정말 쓰레기같은 앱을 만들어 불편을 가중시키고 있네 ! 복잡한 인증 빠르고 쉽게 \? \? \? \? \? 말이 되는 소린지 ! "
421,톡에서 만화를 볼수있어서 좋은것같고 리뷰보니깐 살짝 불편한감도있겠지만 별하나주고 삭제한다고 항의글 \( \? \) 은 없는거 보니깐 그만큼 좋은것같아요 
422,캐시 뽑기권을 받아서 뽑았는데 캐시가 들어오질 않네요 오류라고 해서 다시 보내주셨는데 그것도 되질 않아요 확인 부탁 드립니다
423,기무로 바뀌는 건 좀 아닌 것 같네요 미리 공지를 해주지도 않고 대표작들을 기무로 바꾸시면 보고 있던 사람들은 어떡합니까
424,돈에 환장한거 같음 솔직히 책한권 사는데도 만원이 안드는데 만원씩 써야하고 이벤트한다치면 전부 광고고 최대 얼마 이벤트인데 100원이상은 당첨되본적도 없고 야 진짜 돈부담되서 책도 못보겠다
425,"아직까지 환급에대해 별다른 문제가 없었고 , 설사 문제가 생기더라도 문의한 점에대해 빠른 피드백이 좋은것같아요"
426,일단 엄청 간단하고 공인인증서없이도 할수잇다는게큰 장점입니다
427,머니트리 500캐시가 안옵니다 빨리처리해주세요 전에도 다른앱깔아서400캐시 받아야 하는데 오지않았습니다 이것 까지 바라지는 않을테니까 머니트리500캐시좀 주세요
428,이맵 완전완전 좋아요 ! ! ! ! ! 소설도 많쿠 웹툰 많쿠 ! ! ! ! ! 이맵 완전 강추강추강추 ! ! ! ! ! ! ! ! ! ! 
429,야놀자 다운받았는데 캐시지급을 못 받았어요 확인해주세요 ! 
430,친구가 소개해서 다운받았는데 정말 간단하고 급하게 이체 할 있었는데 회사에 보안카드 놓고 왔을때 토스 이용해서 소액 이체 가능해서 난감한 상황 모면 했어요 ! 감사합니다 
